source name	characteristics[organism]	characteristics[organism part]	characteristics[tissue supergroup]	characteristics[tissue mass]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[sample type]	characteristics[sample name]	characteristics[environmental medium]	characteristics[project name]	characteristics[geographic location]	characteristics[collection date]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host subject id]	characteristics[host disease status]	characteristics[host body site]	characteristics[host age]	characteristics[host sex]	characteristics[host body-mass index]	characteristics[host height]	characteristics[host total mass]	characteristics[host diet]	characteristics[antibiotic treatment]	characteristics[depletion]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[sample preparation batch]	comment[ms1 scan range]	comment[ms2 scan range]	comment[ms min charge]	comment[ms max charge]	comment[ms min rt]	comment[ms max rt]	comment[sample storage temperature]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[host subject id]
1A10	human gut metagenome	feces	gastrointestinal tract	5 g	1	not pooled	study sample	1A10	feces	Lunar_Palace_365	China: Beijing	not available	gut microbiome	Homo sapiens	not available	normal	gut	not available	not available	not available	not available	not available	high-fiber, high-plant, non-vegetarian diet	none	no depletion	Zikai_20190420_LunaraPalace1_QE_1A10	proteomic profiling by mass spectrometry	1	Zikai_20190420_LunaraPalace1_QE_1A10.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	plate1	300m/z-1800m/z	200m/z-2000m/z	2	4	0	90	-80 °C	v1.1.0	NT=human-gut;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
1A11	human gut metagenome	feces	gastrointestinal tract	5 g	1	not pooled	study sample	1A11	feces	Lunar_Palace_365	China: Beijing	not available	gut microbiome	Homo sapiens	not available	normal	gut	not available	not available	not available	not available	not available	high-fiber, high-plant, non-vegetarian diet	none	no depletion	Zikai_20190420_LunaraPalace1_QE_1A11	proteomic profiling by mass spectrometry	1	Zikai_20190420_LunaraPalace1_QE_1A11.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	plate1	300m/z-1800m/z	200m/z-2000m/z	2	4	0	90	-80 °C	v1.1.0	NT=human-gut;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
1A11	human gut metagenome	feces	gastrointestinal tract	5 g	1	not pooled	study sample	1A11	feces	Lunar_Palace_365	China: Beijing	not available	gut microbiome	Homo sapiens	not available	normal	gut	not available	not available	not available	not available	not available	high-fiber, high-plant, non-vegetarian diet	none	no depletion	Zikai_20190420_LunaraPalace1_QE_1A11_2	proteomic profiling by mass spectrometry	2	Zikai_20190420_LunaraPalace1_QE_1A11_2.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	plate1	300m/z-1800m/z	200m/z-2000m/z	2	4	0	90	-80 °C	v1.1.0	NT=human-gut;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
1A12	human gut metagenome	feces	gastrointestinal tract	5 g	5	not pooled	study sample	1A12	feces	Lunar_Palace_365	China: Beijing	2018-03-16	gut microbiome	Homo sapiens	crew_D	normal	gut	30Y	male	22.5	168.9 cm	64.20 kg	high-fiber, high-plant, non-vegetarian diet	none	no depletion	Zikai_20190420_LunaraPalace1_QE_1A12	proteomic profiling by mass spectrometry	1	Zikai_20190420_LunaraPalace1_QE_1A12.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	plate1	300m/z-1800m/z	200m/z-2000m/z	2	4	0	90	-80 °C	v1.1.0	NT=human-gut;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	crew_D
1B01	human gut metagenome	feces	gastrointestinal tract	5 g	6	not pooled	study sample	1B01	feces	Lunar_Palace_365	China: Beijing	2018-03-30	gut microbiome	Homo sapiens	crew_D	normal	gut	30Y	male	22.5	168.9 cm	64.20 kg	high-fiber, high-plant, non-vegetarian diet	none	no depletion	Zikai_20190420_LunaraPalace1_QE_1B01	proteomic profiling by mass spectrometry	1	Zikai_20190420_LunaraPalace1_QE_1B01.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	plate1	300m/z-1800m/z	200m/z-2000m/z	2	4	0	90	-80 °C	v1.1.0	NT=human-gut;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	crew_D
1B02	human gut metagenome	feces	gastrointestinal tract	5 g	7	not pooled	study sample	1B02	feces	Lunar_Palace_365	China: Beijing	2018-04-17	gut microbiome	Homo sapiens	crew_D	normal	gut	30Y	male	22.5	168.9 cm	64.20 kg	high-fiber, high-plant, non-vegetarian diet	none	no depletion	Zikai_20190420_LunaraPalace1_QE_1B02	proteomic profiling by mass spectrometry	1	Zikai_20190420_LunaraPalace1_QE_1B02.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	plate1	300m/z-1800m/z	200m/z-2000m/z	2	4	0	90	-80 °C	v1.1.0	NT=human-gut;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	crew_D
1B03	human gut metagenome	feces	gastrointestinal tract	5 g	8	not pooled	study sample	1B03	feces	Lunar_Palace_365	China: Beijing	2018-04-29	gut microbiome	Homo sapiens	crew_D	normal	gut	30Y	male	22.5	168.9 cm	64.20 kg	high-fiber, high-plant, non-vegetarian diet	none	no depletion	Zikai_20190420_LunaraPalace1_QE_1B03	proteomic profiling by mass spectrometry	1	Zikai_20190420_LunaraPalace1_QE_1B03.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	plate1	300m/z-1800m/z	200m/z-2000m/z	2	4	0	90	-80 °C	v1.1.0	NT=human-gut;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	crew_D
1B03	human gut metagenome	feces	gastrointestinal tract	5 g	8	not pooled	study sample	1B03	feces	Lunar_Palace_365	China: Beijing	2018-04-29	gut microbiome	Homo sapiens	crew_D	normal	gut	30Y	male	22.5	168.9 cm	64.20 kg	high-fiber, high-plant, non-vegetarian diet	none	no depletion	Zikai_20190420_LunaraPalace1_QE_1B03_2	proteomic profiling by mass spectrometry	2	Zikai_20190420_LunaraPalace1_QE_1B03_2.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	plate1	300m/z-1800m/z	200m/z-2000m/z	2	4	0	90	-80 °C	v1.1.0	NT=human-gut;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	crew_D
1B04	human gut metagenome	feces	gastrointestinal tract	5 g	9	not pooled	study sample	1B04	feces	Lunar_Palace_365	China: Beijing	2018-05-11	gut microbiome	Homo sapiens	crew_D	normal	gut	30Y	male	22.5	168.9 cm	64.20 kg	high-fiber, high-plant, non-vegetarian diet	none	no depletion	Zikai_20190420_LunaraPalace1_QE_1B04	proteomic profiling by mass spectrometry	1	Zikai_20190420_LunaraPalace1_QE_1B04.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	plate1	300m/z-1800m/z	200m/z-2000m/z	2	4	0	90	-80 °C	v1.1.0	NT=human-gut;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	crew_D
1B05	human gut metagenome	feces	gastrointestinal tract	5 g	1	not pooled	study sample	1B05	feces	Lunar_Palace_365	China: Beijing	not available	gut microbiome	Homo sapiens	not available	normal	gut	not available	not available	not available	not available	not available	high-fiber, high-plant, non-vegetarian diet	none	no depletion	Zikai_20190420_LunaraPalace1_QE_1B05	proteomic profiling by mass spectrometry	1	Zikai_20190420_LunaraPalace1_QE_1B05.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	plate1	300m/z-1800m/z	200m/z-2000m/z	2	4	0	90	-80 °C	v1.1.0	NT=human-gut;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
