source name	characteristics[organism]	characteristics[organism part]	characteristics[tissue supergroup]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[material type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[mhc protein complex]	characteristics[immunopeptidome enrichment method]	characteristics[mhc typing]	characteristics[mhc typing method]	characteristics[antibody enrichment]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[acquisition date]	comment[ms1 scan range]	comment[ms2 min mz]	comment[ms min charge]	comment[ms max charge]	comment[elution conditions]	factor value[source name]
P1189-3-plaque_HLA-I	Homo sapiens	artery	cardiovascular system	not applicable	1	not available	atherosclerosis	tissue	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	W6/32	E20212000094a	proteomic profiling by mass spectrometry	1	E20212000094a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	not applicable	30% NCE	10 ppm	0.02 Da	not applicable	not applicable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=orbitrap;AC=MS:1000484	2021-02-08T14:20:52	300m/z-1500m/z	110m/z	1	4	gradient 2-40% acetonitrile in 0.1% formic acid over 120 min	P1189-3-plaque_HLA-I
P1189-3-plaque_HLA-II	Homo sapiens	artery	cardiovascular system	not applicable	1	not available	atherosclerosis	tissue	not available	not available	not available	not available	not available	MHC class II protein complex	immunoaffinity purification	not available	not available	B8.11.2	E20212000094a2	proteomic profiling by mass spectrometry	1	E20212000094a2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	not applicable	30% NCE	10 ppm	0.02 Da	not applicable	not applicable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=orbitrap;AC=MS:1000484	2021-02-08T16:45:44	300m/z-1500m/z	110m/z	1	4	gradient 2-40% acetonitrile in 0.1% formic acid over 120 min	P1189-3-plaque_HLA-II
P1189-3-plaque_HLA-II	Homo sapiens	artery	cardiovascular system	not applicable	1	not available	atherosclerosis	tissue	not available	not available	not available	not available	not available	MHC class II protein complex	immunoaffinity purification	not available	not available	B8.11.2	E20212000094a3	proteomic profiling by mass spectrometry	2	E20212000094a3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	not applicable	30% NCE	10 ppm	0.02 Da	not applicable	not applicable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=orbitrap;AC=MS:1000484	2021-02-08T19:10:45	300m/z-1500m/z	110m/z	1	4	gradient 2-40% acetonitrile in 0.1% formic acid over 120 min	P1189-3-plaque_HLA-II
