source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[depletion method]	characteristics[depletion]	characteristics[developmental stage]	characteristics[individual]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[proteomics data acquisition method]	comment[modification parameter]	comment[modification parameter]	comment[cleavage agent details]	comment[collision energy]	comment[dissociation method]	comment[file uri]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[separation]	comment[technical replicate]	comment[data file]	factor value[organism part]
PXD000852-Sample-1	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S1	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	1	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S1.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S1.raw.zip	hdl
PXD000852-Sample-2	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S2	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	2	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S2.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S2.raw.zip	hdl
PXD000852-Sample-3	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S3	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	3	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S3.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S3.raw.zip	hdl
PXD000852-Sample-4	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S4	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	4	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S4.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S4.raw.zip	hdl
PXD000852-Sample-5	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S5	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	5	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S5.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S5.raw.zip	hdl
PXD000852-Sample-6	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S6	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	6	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S6.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S6.raw.zip	hdl
PXD000852-Sample-7	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S7	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	7	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S7.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S7.raw.zip	hdl
PXD000852-Sample-8	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S8	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	8	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S8.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S8.raw.zip	hdl
PXD000852-Sample-9	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S9	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	9	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S9.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S9.raw.zip	hdl
PXD000852-Sample-10	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S10	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	10	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S10.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S10.raw.zip	hdl
