source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[host organism]	characteristics[host subject id]	characteristics[host disease status]	characteristics[host body site]	characteristics[environmental medium]	characteristics[microbiome source]	characteristics[project name]	characteristics[geographic location]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	characteristics[depletion]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[ms1 scan range]	comment[sample storage temperature]	comment[organism count]	comment[acquisition date]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[host subject id]
S2	S2	human gut metagenome	not applicable	Homo sapiens	S2	not available	colon	intestine environment	gut microbiome	Metaproteomics_of_colon_biopsies	Seattle	colonoscopy or surgical resection biopsy	Biopsies stored in Minimal Essential Medium with 10% DMSO at -70C after collection; cultivated cell pellets stored at -80C before proteomic analysis	1	no depletion	2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	not applicable	28% NCE	20 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	400m/z-1600m/z	-80 °C	1000000000 CFU/ml	not available	1	2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	S2
S2	S2	human gut metagenome	not applicable	Homo sapiens	S2	not available	colon	intestine environment	gut microbiome	Metaproteomics_of_colon_biopsies	Seattle	colonoscopy or surgical resection biopsy	Biopsies stored in Minimal Essential Medium with 10% DMSO at -70C after collection; cultivated cell pellets stored at -80C before proteomic analysis	1	no depletion	2_20221202203139	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	not applicable	28% NCE	20 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	400m/z-1600m/z	-80 °C	1000000000 CFU/ml	2022-12-02T20:31:39	2	2_20221202203139.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	S2
S3	S3	human gut metagenome	not applicable	Homo sapiens	S3	not available	colon	intestine environment	gut microbiome	Metaproteomics_of_colon_biopsies	Seattle	colonoscopy or surgical resection biopsy	Biopsies stored in Minimal Essential Medium with 10% DMSO at -70C after collection; cultivated cell pellets stored at -80C before proteomic analysis	1	no depletion	3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	not applicable	28% NCE	20 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	400m/z-1600m/z	-80 °C	1000000000 CFU/ml	not available	1	3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	S3
S3	S3	human gut metagenome	not applicable	Homo sapiens	S3	not available	colon	intestine environment	gut microbiome	Metaproteomics_of_colon_biopsies	Seattle	colonoscopy or surgical resection biopsy	Biopsies stored in Minimal Essential Medium with 10% DMSO at -70C after collection; cultivated cell pellets stored at -80C before proteomic analysis	1	no depletion	3_20221214014411	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	not applicable	28% NCE	20 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	400m/z-1600m/z	-80 °C	1000000000 CFU/ml	2022-12-14T01:44:11	2	3_20221214014411.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	S3
S4	S4	human gut metagenome	not applicable	Homo sapiens	S4	not available	colon	intestine environment	gut microbiome	Metaproteomics_of_colon_biopsies	Seattle	colonoscopy or surgical resection biopsy	Biopsies stored in Minimal Essential Medium with 10% DMSO at -70C after collection; cultivated cell pellets stored at -80C before proteomic analysis	1	no depletion	4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	not applicable	28% NCE	20 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	400m/z-1600m/z	-80 °C	1000000000 CFU/ml	not available	1	4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	S4
S4	S4	human gut metagenome	not applicable	Homo sapiens	S4	not available	colon	intestine environment	gut microbiome	Metaproteomics_of_colon_biopsies	Seattle	colonoscopy or surgical resection biopsy	Biopsies stored in Minimal Essential Medium with 10% DMSO at -70C after collection; cultivated cell pellets stored at -80C before proteomic analysis	1	no depletion	4_20221214044349	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	not applicable	28% NCE	20 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	400m/z-1600m/z	-80 °C	1000000000 CFU/ml	2022-12-14T04:43:49	2	4_20221214044349.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	S4
S5	S5	human gut metagenome	not applicable	Homo sapiens	S5	not available	colon	intestine environment	gut microbiome	Metaproteomics_of_colon_biopsies	Seattle	colonoscopy or surgical resection biopsy	Biopsies stored in Minimal Essential Medium with 10% DMSO at -70C after collection; cultivated cell pellets stored at -80C before proteomic analysis	1	no depletion	5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	not applicable	28% NCE	20 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	400m/z-1600m/z	-80 °C	1000000000 CFU/ml	not available	1	5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	S5
S5	S5	human gut metagenome	not applicable	Homo sapiens	S5	not available	colon	intestine environment	gut microbiome	Metaproteomics_of_colon_biopsies	Seattle	colonoscopy or surgical resection biopsy	Biopsies stored in Minimal Essential Medium with 10% DMSO at -70C after collection; cultivated cell pellets stored at -80C before proteomic analysis	1	no depletion	5_20221214074323	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	not applicable	28% NCE	20 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	400m/z-1600m/z	-80 °C	1000000000 CFU/ml	2022-12-14T07:43:23	2	5_20221214074323.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	S5
S7	S7	human gut metagenome	not applicable	Homo sapiens	S7	not available	colon	intestine environment	gut microbiome	Metaproteomics_of_colon_biopsies	Seattle	colonoscopy or surgical resection biopsy	Biopsies stored in Minimal Essential Medium with 10% DMSO at -70C after collection; cultivated cell pellets stored at -80C before proteomic analysis	1	no depletion	7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	not applicable	28% NCE	20 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	400m/z-1600m/z	-80 °C	1000000000 CFU/ml	not available	1	7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	S7
S7	S7	human gut metagenome	not applicable	Homo sapiens	S7	not available	colon	intestine environment	gut microbiome	Metaproteomics_of_colon_biopsies	Seattle	colonoscopy or surgical resection biopsy	Biopsies stored in Minimal Essential Medium with 10% DMSO at -70C after collection; cultivated cell pellets stored at -80C before proteomic analysis	1	no depletion	7_20221216101448	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	not applicable	28% NCE	20 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	400m/z-1600m/z	-80 °C	1000000000 CFU/ml	2022-12-16T10:14:48	2	7_20221216101448.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	S7
