source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Npap134-10	Npap134-10	Homo sapiens	Cervical epithelial cell	not applicable	not available	Human_Pap_test_LC-MS_MS_metaproteomics	Cervical epithelial cell	Cervical epithelial cell	not available	not available	not available	not available	1	Npap134-10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Npap134-10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cervical epithelial cell
Npap134-11	Npap134-11	Homo sapiens	Cervical epithelial cell	not applicable	not available	Human_Pap_test_LC-MS_MS_metaproteomics	Cervical epithelial cell	Cervical epithelial cell	not available	not available	not available	not available	1	Npap134-11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Npap134-11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cervical epithelial cell
Npap134-13	Npap134-13	Homo sapiens	Cervical epithelial cell	not applicable	not available	Human_Pap_test_LC-MS_MS_metaproteomics	Cervical epithelial cell	Cervical epithelial cell	not available	not available	not available	not available	1	Npap134-13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Npap134-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cervical epithelial cell
Npap134-14	Npap134-14	Homo sapiens	Cervical epithelial cell	not applicable	not available	Human_Pap_test_LC-MS_MS_metaproteomics	Cervical epithelial cell	Cervical epithelial cell	not available	not available	not available	not available	1	Npap134-14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Npap134-14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cervical epithelial cell
Npap134-2	Npap134-2	Homo sapiens	Cervical epithelial cell	not applicable	not available	Human_Pap_test_LC-MS_MS_metaproteomics	Cervical epithelial cell	Cervical epithelial cell	not available	not available	not available	not available	1	Npap134-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Npap134-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cervical epithelial cell
Npap134-3	Npap134-3	Homo sapiens	Cervical epithelial cell	not applicable	not available	Human_Pap_test_LC-MS_MS_metaproteomics	Cervical epithelial cell	Cervical epithelial cell	not available	not available	not available	not available	1	Npap134-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Npap134-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cervical epithelial cell
Npap134-5	Npap134-5	Homo sapiens	Cervical epithelial cell	not applicable	not available	Human_Pap_test_LC-MS_MS_metaproteomics	Cervical epithelial cell	Cervical epithelial cell	not available	not available	not available	not available	1	Npap134-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Npap134-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cervical epithelial cell
Npap134-6	Npap134-6	Homo sapiens	Cervical epithelial cell	not applicable	not available	Human_Pap_test_LC-MS_MS_metaproteomics	Cervical epithelial cell	Cervical epithelial cell	not available	not available	not available	not available	1	Npap134-6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Npap134-6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cervical epithelial cell
Npap134-7	Npap134-7	Homo sapiens	Cervical epithelial cell	not applicable	not available	Human_Pap_test_LC-MS_MS_metaproteomics	Cervical epithelial cell	Cervical epithelial cell	not available	not available	not available	not available	1	Npap134-7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Npap134-7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cervical epithelial cell
Npap134-8	Npap134-8	Homo sapiens	Cervical epithelial cell	not applicable	not available	Human_Pap_test_LC-MS_MS_metaproteomics	Cervical epithelial cell	Cervical epithelial cell	not available	not available	not available	not available	1	Npap134-8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Npap134-8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cervical epithelial cell
