source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20241025_GBM_FFPE_DIA_001	20241025_GBM_FFPE_DIA_001	Homo sapiens	Brain	not applicable	Glioblastoma	Metaproteomic_profiling_reveals_viral_proteins_and_associated_host_proteomic_alterations_in_glioblastoma	Brain	Brain	not available	not available	not available	not available	1	20241025_GBM_FFPE_DIA_001	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	20241025_GBM_FFPE_DIA_001.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Brain
20241025_GBM_FFPE_DIA_002	20241025_GBM_FFPE_DIA_002	Homo sapiens	Brain	not applicable	Glioblastoma	Metaproteomic_profiling_reveals_viral_proteins_and_associated_host_proteomic_alterations_in_glioblastoma	Brain	Brain	not available	not available	not available	not available	1	20241025_GBM_FFPE_DIA_002	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	20241025_GBM_FFPE_DIA_002.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Brain
20241025_GBM_FFPE_DIA_003	20241025_GBM_FFPE_DIA_003	Homo sapiens	Brain	not applicable	Glioblastoma	Metaproteomic_profiling_reveals_viral_proteins_and_associated_host_proteomic_alterations_in_glioblastoma	Brain	Brain	not available	not available	not available	not available	1	20241025_GBM_FFPE_DIA_003	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	20241025_GBM_FFPE_DIA_003.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Brain
20241025_GBM_FFPE_DIA_004	20241025_GBM_FFPE_DIA_004	Homo sapiens	Brain	not applicable	Glioblastoma	Metaproteomic_profiling_reveals_viral_proteins_and_associated_host_proteomic_alterations_in_glioblastoma	Brain	Brain	not available	not available	not available	not available	1	20241025_GBM_FFPE_DIA_004	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	20241025_GBM_FFPE_DIA_004.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Brain
20241025_GBM_FFPE_DIA_005	20241025_GBM_FFPE_DIA_005	Homo sapiens	Brain	not applicable	Glioblastoma	Metaproteomic_profiling_reveals_viral_proteins_and_associated_host_proteomic_alterations_in_glioblastoma	Brain	Brain	not available	not available	not available	not available	1	20241025_GBM_FFPE_DIA_005	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	20241025_GBM_FFPE_DIA_005.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Brain
20241025_GBM_FFPE_DIA_006	20241025_GBM_FFPE_DIA_006	Homo sapiens	Brain	not applicable	Glioblastoma	Metaproteomic_profiling_reveals_viral_proteins_and_associated_host_proteomic_alterations_in_glioblastoma	Brain	Brain	not available	not available	not available	not available	1	20241025_GBM_FFPE_DIA_006	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	20241025_GBM_FFPE_DIA_006.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Brain
20241025_GBM_FFPE_DIA_007	20241025_GBM_FFPE_DIA_007	Homo sapiens	Brain	not applicable	Glioblastoma	Metaproteomic_profiling_reveals_viral_proteins_and_associated_host_proteomic_alterations_in_glioblastoma	Brain	Brain	not available	not available	not available	not available	1	20241025_GBM_FFPE_DIA_007	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	20241025_GBM_FFPE_DIA_007.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Brain
20241025_GBM_FFPE_DIA_008	20241025_GBM_FFPE_DIA_008	Homo sapiens	Brain	not applicable	Glioblastoma	Metaproteomic_profiling_reveals_viral_proteins_and_associated_host_proteomic_alterations_in_glioblastoma	Brain	Brain	not available	not available	not available	not available	1	20241025_GBM_FFPE_DIA_008	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	20241025_GBM_FFPE_DIA_008.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Brain
20241025_GBM_FFPE_DIA_009	20241025_GBM_FFPE_DIA_009	Homo sapiens	Brain	not applicable	Glioblastoma	Metaproteomic_profiling_reveals_viral_proteins_and_associated_host_proteomic_alterations_in_glioblastoma	Brain	Brain	not available	not available	not available	not available	1	20241025_GBM_FFPE_DIA_009	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	20241025_GBM_FFPE_DIA_009.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Brain
20241025_GBM_FFPE_DIA_010	20241025_GBM_FFPE_DIA_010	Homo sapiens	Brain	not applicable	Glioblastoma	Metaproteomic_profiling_reveals_viral_proteins_and_associated_host_proteomic_alterations_in_glioblastoma	Brain	Brain	not available	not available	not available	not available	1	20241025_GBM_FFPE_DIA_010	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	20241025_GBM_FFPE_DIA_010.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Brain
