source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_1	180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_1	Homo sapiens	Sputum	not applicable	Cystic fibrosis	A_combined_metaproteomics_and_metabolomics_approach_for_the_in_vivo_analysis_of_cystic_fibrosis_sputum_focusing_on_microbial_pathogens	Sputum	Sputum	not available	not available	not available	not available	1	180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Sputum
180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_14	180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_14	Homo sapiens	Sputum	not applicable	Cystic fibrosis	A_combined_metaproteomics_and_metabolomics_approach_for_the_in_vivo_analysis_of_cystic_fibrosis_sputum_focusing_on_microbial_pathogens	Sputum	Sputum	not available	not available	not available	not available	1	180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Sputum
180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_15	180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_15	Homo sapiens	Sputum	not applicable	Cystic fibrosis	A_combined_metaproteomics_and_metabolomics_approach_for_the_in_vivo_analysis_of_cystic_fibrosis_sputum_focusing_on_microbial_pathogens	Sputum	Sputum	not available	not available	not available	not available	1	180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Sputum
180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_16	180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_16	Homo sapiens	Sputum	not applicable	Cystic fibrosis	A_combined_metaproteomics_and_metabolomics_approach_for_the_in_vivo_analysis_of_cystic_fibrosis_sputum_focusing_on_microbial_pathogens	Sputum	Sputum	not available	not available	not available	not available	1	180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Sputum
180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_18	180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_18	Homo sapiens	Sputum	not applicable	Cystic fibrosis	A_combined_metaproteomics_and_metabolomics_approach_for_the_in_vivo_analysis_of_cystic_fibrosis_sputum_focusing_on_microbial_pathogens	Sputum	Sputum	not available	not available	not available	not available	1	180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Sputum
180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_20	180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_20	Homo sapiens	Sputum	not applicable	Cystic fibrosis	A_combined_metaproteomics_and_metabolomics_approach_for_the_in_vivo_analysis_of_cystic_fibrosis_sputum_focusing_on_microbial_pathogens	Sputum	Sputum	not available	not available	not available	not available	1	180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Sputum
180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_5	180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_5	Homo sapiens	Sputum	not applicable	Cystic fibrosis	A_combined_metaproteomics_and_metabolomics_approach_for_the_in_vivo_analysis_of_cystic_fibrosis_sputum_focusing_on_microbial_pathogens	Sputum	Sputum	not available	not available	not available	not available	1	180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Sputum
180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_7	180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_7	Homo sapiens	Sputum	not applicable	Cystic fibrosis	A_combined_metaproteomics_and_metabolomics_approach_for_the_in_vivo_analysis_of_cystic_fibrosis_sputum_focusing_on_microbial_pathogens	Sputum	Sputum	not available	not available	not available	not available	1	180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Sputum
180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_9	180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_9	Homo sapiens	Sputum	not applicable	Cystic fibrosis	A_combined_metaproteomics_and_metabolomics_approach_for_the_in_vivo_analysis_of_cystic_fibrosis_sputum_focusing_on_microbial_pathogens	Sputum	Sputum	not available	not available	not available	not available	1	180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	180805_VE1_PM4_ToK_AGR_Sputum_A1_TR1_5_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Sputum
180806_VE1_PM4_ToK_AGR_Sputum_A1_TR1_4_1_11	180806_VE1_PM4_ToK_AGR_Sputum_A1_TR1_4_1_11	Homo sapiens	Sputum	not applicable	Cystic fibrosis	A_combined_metaproteomics_and_metabolomics_approach_for_the_in_vivo_analysis_of_cystic_fibrosis_sputum_focusing_on_microbial_pathogens	Sputum	Sputum	not available	not available	not available	not available	1	180806_VE1_PM4_ToK_AGR_Sputum_A1_TR1_4_1_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	180806_VE1_PM4_ToK_AGR_Sputum_A1_TR1_4_1_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Sputum
