source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[immunopeptidome enrichment method]	characteristics[mhc protein complex]	characteristics[mhc typing]	characteristics[antibody enrichment]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[source name]
2021apr30_Chip1	Homo sapiens	blood	not available	cell	acute leukemia	not available	not available	not available	not available	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	2021apr30_Chip1	proteomic profiling by mass spectrometry	Cerullo-Bonini_2021apr30_Chip1_10ul_21-05-21_4016.d	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	20 ppm	0.02 Da	NT=time-of-flight;AC=MS:1000084	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	2021apr30_Chip1
2021apr30_Chip2	Homo sapiens	blood	not available	cell	acute leukemia	not available	not available	not available	not available	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	2021apr30_Chip2	proteomic profiling by mass spectrometry	Cerullo-Bonini_2021apr30_Chip2_10ul_21-05-21_4019.d	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	20 ppm	0.02 Da	NT=time-of-flight;AC=MS:1000084	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	2021apr30_Chip2
2021apr30_Chip3	Homo sapiens	blood	not available	cell	acute leukemia	not available	not available	not available	not available	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	2021apr30_Chip3	proteomic profiling by mass spectrometry	Cerullo-Bonini_2021apr30_Chip3_10ul_21-05-21_4022.d	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	20 ppm	0.02 Da	NT=time-of-flight;AC=MS:1000084	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	2021apr30_Chip3
2021apr30_Chip4	Homo sapiens	blood	not available	cell	acute leukemia	not available	not available	not available	not available	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	2021apr30_Chip4	proteomic profiling by mass spectrometry	Cerullo-Bonini_2021apr30_Chip4_10ul_21-05-21_4025.d	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	20 ppm	0.02 Da	NT=time-of-flight;AC=MS:1000084	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	2021apr30_Chip4
2021may07_Chip1	Homo sapiens	blood	not available	cell	acute leukemia	not available	not available	not available	not available	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	2021may07_Chip1	proteomic profiling by mass spectrometry	Cerullo-Bonini_2021may07_Chip1_10ul_21-05-22_4028.d	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	20 ppm	0.02 Da	NT=time-of-flight;AC=MS:1000084	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	2021may07_Chip1
2021may07_Chip2	Homo sapiens	blood	not available	cell	acute leukemia	not available	not available	not available	not available	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	2021may07_Chip2	proteomic profiling by mass spectrometry	Cerullo-Bonini_2021may07_Chip2_10ul_21-05-22_4031.d	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	20 ppm	0.02 Da	NT=time-of-flight;AC=MS:1000084	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	2021may07_Chip2
2021may07_Chip3	Homo sapiens	blood	not available	cell	acute leukemia	not available	not available	not available	not available	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	2021may07_Chip3	proteomic profiling by mass spectrometry	Cerullo-Bonini_2021may07_Chip3_10ul_21-05-22_4034.d	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	20 ppm	0.02 Da	NT=time-of-flight;AC=MS:1000084	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	2021may07_Chip3
2021may07_Chip4	Homo sapiens	blood	not available	cell	acute leukemia	not available	not available	not available	not available	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	2021may07_Chip4	proteomic profiling by mass spectrometry	Cerullo-Bonini_2021may07_Chip4_10ul_21-05-22_4037.d	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	20 ppm	0.02 Da	NT=time-of-flight;AC=MS:1000084	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	2021may07_Chip4
2021may13_Chip1	Homo sapiens	blood	not available	cell	acute leukemia	not available	not available	not available	not available	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	2021may13_Chip1	proteomic profiling by mass spectrometry	Cerullo-Bonini_2021may13_Chip1_10ul_21-05-22_4040.d	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	20 ppm	0.02 Da	NT=time-of-flight;AC=MS:1000084	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	2021may13_Chip1
2021may13_Chip2	Homo sapiens	blood	not available	cell	acute leukemia	not available	not available	not available	not available	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	2021may13_Chip2	proteomic profiling by mass spectrometry	Cerullo-Bonini_2021may13_Chip2_10ul_21-05-22_4043.d	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	20 ppm	0.02 Da	NT=time-of-flight;AC=MS:1000084	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	2021may13_Chip2
