source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[isolation window width]	comment[scan window lower limit]	comment[scan window upper limit]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
SA-10-1943	Homo sapiens	blood plasma	not applicable	not available	adult	not available	not available	not available	SA-10-1943	organism part	1	run SA_BOX_10-1943_S2-B12_1_6292	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	not available	not available	not available	1	1	SA_BOX_10-1943_S2-B12_1_6292.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SA-10-1948	Homo sapiens	blood plasma	not applicable	not available	adult	not available	not available	not available	SA-10-1948	organism part	1	run SA_BOX_10-1948_S2-G11_1_6289	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	not available	not available	not available	1	1	SA_BOX_10-1948_S2-G11_1_6289.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SA-10-1959	Homo sapiens	blood plasma	not applicable	not available	adult	not available	not available	not available	SA-10-1959	organism part	1	run SA_BOX_10-1959_S2-D6_1_6245	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	not available	not available	not available	1	1	SA_BOX_10-1959_S2-D6_1_6245.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SA-10-1975	Homo sapiens	blood plasma	not applicable	not available	adult	not available	not available	not available	SA-10-1975	organism part	1	run SA_BOX_10-1975_S2-H10_1_6282	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	not available	not available	not available	1	1	SA_BOX_10-1975_S2-H10_1_6282.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SA-10-2008	Homo sapiens	blood plasma	not applicable	not available	adult	not available	not available	not available	SA-10-2008	organism part	1	run SA_BOX_10-2008_S2-G1_1_6208	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	not available	not available	not available	1	1	SA_BOX_10-2008_S2-G1_1_6208.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SA-10-2060	Homo sapiens	blood plasma	not applicable	not available	adult	not available	not available	not available	SA-10-2060	organism part	1	run SA_BOX_10-2060_S2-C12_1_6293	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	not available	not available	not available	1	1	SA_BOX_10-2060_S2-C12_1_6293.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SA-10-2126	Homo sapiens	blood plasma	not applicable	not available	adult	not available	not available	not available	SA-10-2126	organism part	1	run SA_BOX_10-2126_S2-H9_1_6274	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	not available	not available	not available	1	1	SA_BOX_10-2126_S2-H9_1_6274.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SA-10-2176	Homo sapiens	blood plasma	not applicable	not available	adult	not available	not available	not available	SA-10-2176	organism part	1	run SA_BOX_10-2176_S2-E3_1_6222	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	not available	not available	not available	1	1	SA_BOX_10-2176_S2-E3_1_6222.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SA-10-2336	Homo sapiens	blood plasma	not applicable	not available	adult	not available	not available	not available	SA-10-2336	organism part	1	run SA_BOX_10-2336_S2-C1_1_6204	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	not available	not available	not available	1	1	SA_BOX_10-2336_S2-C1_1_6204.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SA-10-2338	Homo sapiens	blood plasma	not applicable	not available	adult	not available	not available	not available	SA-10-2338	organism part	1	run SA_BOX_10-2338_S2-H3_1_6225	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	not available	not available	not available	1	1	SA_BOX_10-2338_S2-H3_1_6225.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SA-10-2384	Homo sapiens	blood plasma	not applicable	not available	adult	not available	not available	not available	SA-10-2384	organism part	1	run SA_BOX_10-2384_S2-D3_1_6221	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	not available	not available	not available	1	1	SA_BOX_10-2384_S2-D3_1_6221.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SA-10-2389	Homo sapiens	blood plasma	not applicable	not available	adult	not available	not available	not available	SA-10-2389	organism part	1	run SA_BOX_10-2389_S2-C3_1_6220	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	not available	not available	not available	1	1	SA_BOX_10-2389_S2-C3_1_6220.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SA-10-2396	Homo sapiens	blood plasma	not applicable	not available	adult	not available	not available	not available	SA-10-2396	organism part	1	run SA_BOX_10-2396_S2-A5_1_6234	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	not available	not available	not available	1	1	SA_BOX_10-2396_S2-A5_1_6234.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SA-10-2399	Homo sapiens	blood plasma	not applicable	not available	adult	not available	not available	not available	SA-10-2399	organism part	1	run SA_BOX_10-2399_S2-G10_1_6281	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	not available	not available	not available	1	1	SA_BOX_10-2399_S2-G10_1_6281.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SA-10-2410	Homo sapiens	blood plasma	not applicable	not available	adult	not available	not available	not available	SA-10-2410	organism part	1	run SA_BOX_10-2410_S2-B1_1_6203	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	not available	not available	not available	1	1	SA_BOX_10-2410_S2-B1_1_6203.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SA-10-2413	Homo sapiens	blood plasma	not applicable	not available	adult	not available	not available	not available	SA-10-2413	organism part	1	run SA_BOX_10-2413_S2-A7_1_6251	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	not available	not available	not available	1	1	SA_BOX_10-2413_S2-A7_1_6251.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SA-10-2440	Homo sapiens	blood plasma	not applicable	not available	adult	not available	not available	not available	SA-10-2440	organism part	1	run SA_BOX_10-2440_S2-C11_1_6285	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	not available	not available	not available	1	1	SA_BOX_10-2440_S2-C11_1_6285.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SA-10-2465	Homo sapiens	blood plasma	not applicable	not available	adult	not available	not available	not available	SA-10-2465	organism part	1	run SA_BOX_10-2465_S2-F9_1_6272	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	not available	not available	not available	1	1	SA_BOX_10-2465_S2-F9_1_6272.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SA-10-2469	Homo sapiens	blood plasma	not applicable	not available	adult	not available	not available	not available	SA-10-2469	organism part	1	run SA_BOX_10-2469_S2-E5_1_6238	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	not available	not available	not available	1	1	SA_BOX_10-2469_S2-E5_1_6238.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SA-10-2477	Homo sapiens	blood plasma	not applicable	not available	adult	not available	not available	not available	SA-10-2477	organism part	1	run SA_BOX_10-2477_S2-A10_1_6275	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	not available	not available	not available	1	1	SA_BOX_10-2477_S2-A10_1_6275.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SA-10-2497	Homo sapiens	blood plasma	not applicable	not available	adult	not available	not available	not available	SA-10-2497	organism part	1	run SA_BOX_10-2497_S2-A12_1_6291	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	not available	not available	not available	1	1	SA_BOX_10-2497_S2-A12_1_6291.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SA-10-2506	Homo sapiens	blood plasma	not applicable	not available	adult	not available	not available	not available	SA-10-2506	organism part	1	run SA_BOX_10-2506_S2-H8_1_6266	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	not available	not available	not available	1	1	SA_BOX_10-2506_S2-H8_1_6266.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SA-10-2514	Homo sapiens	blood plasma	not applicable	not available	adult	not available	not available	not available	SA-10-2514	organism part	1	run SA_BOX_10-2514_S2-E6_1_6246	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	not available	not available	not available	1	1	SA_BOX_10-2514_S2-E6_1_6246.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SA-10-2530	Homo sapiens	blood plasma	not applicable	not available	adult	not available	not available	not available	SA-10-2530	organism part	1	run SA_BOX_10-2530_S2-D7_1_6254	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	not available	not available	not available	1	1	SA_BOX_10-2530_S2-D7_1_6254.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SA-10-2532	Homo sapiens	blood plasma	not applicable	not available	adult	not available	not available	not available	SA-10-2532	organism part	1	run SA_BOX_10-2532_S2-D5_1_6237	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	not available	not available	not available	1	1	SA_BOX_10-2532_S2-D5_1_6237.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SA-10-2534	Homo sapiens	blood plasma	not applicable	not available	adult	not available	not available	not available	SA-10-2534	organism part	1	run SA_BOX_10-2534_S2-A4_1_6226	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	not available	not available	not available	1	1	SA_BOX_10-2534_S2-A4_1_6226.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SA-10-2548	Homo sapiens	blood plasma	not applicable	not available	adult	not available	not available	not available	SA-10-2548	organism part	1	run SA_BOX_10-2548_S2-D12_1_6294	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	not available	not available	not available	1	1	SA_BOX_10-2548_S2-D12_1_6294.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SA-10-254	Homo sapiens	blood plasma	not applicable	not available	adult	not available	not available	not available	SA-10-254	organism part	1	run SA_BOX_10-254_S2-B4_1_6227	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	not available	not available	not available	1	1	SA_BOX_10-254_S2-B4_1_6227.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
